2026-05-17 22:51:13 | WARNING | podcast_pipeline | MediaPipe installed without solutions API. Falling back to Haar cascade detector.
2026-05-17 22:51:13 | INFO | podcast_pipeline | Face detector initialized: haar
2026-05-17 22:51:13 | WARNING | podcast_pipeline | MediaPipe FaceMesh unavailable. Using ROI-based lip movement fallback.
2026-05-17 22:51:13 | INFO | podcast_pipeline | Starting ingest pipeline.
2026-05-17 22:51:38 | INFO | podcast_pipeline | Validated video asset: /Users/niserg/Desktop/metaverse/podcast_pipeline/input/20260403_recording.mp4
2026-05-17 22:51:38 | INFO | podcast_pipeline | Metadata for 20260403_recording.mp4: {'fps': 25.0, 'resolution': {'width': 1512, 'height': 950}, 'codec': 'h264', 'duration_sec': 2862.64, 'frame_count': 71566}
2026-05-17 22:51:38 | INFO | podcast_pipeline | Organized video -> /Users/niserg/Desktop/metaverse/podcast_pipeline/raw/video/20260403_recording.mp4
2026-05-17 22:51:38 | INFO | podcast_pipeline | Ingest complete: 1 videos, 0 audio, 0 overlays.
2026-05-17 22:53:24 | INFO | podcast_pipeline | Using FFmpeg video encoder: h264_videotoolbox
2026-05-17 22:53:24 | INFO | podcast_pipeline | Using FFmpeg video encoder: h264_videotoolbox
2026-05-17 22:53:24 | WARNING | podcast_pipeline | MediaPipe installed without solutions API. Falling back to Haar cascade detector.
2026-05-17 22:53:24 | INFO | podcast_pipeline | Face detector initialized: haar
2026-05-17 22:53:24 | WARNING | podcast_pipeline | MediaPipe FaceMesh unavailable. Using ROI-based lip movement fallback.
2026-05-17 22:53:24 | INFO | podcast_pipeline | Starting ingest pipeline.
2026-05-17 22:53:31 | INFO | podcast_pipeline | Validated video asset: /Users/niserg/Desktop/metaverse/podcast_pipeline/input/20260403_recording.mp4
2026-05-17 22:53:31 | INFO | podcast_pipeline | Metadata for 20260403_recording.mp4: {'fps': 25.0, 'resolution': {'width': 1512, 'height': 950}, 'codec': 'h264', 'duration_sec': 2862.64, 'frame_count': 71566}
2026-05-17 22:53:31 | INFO | podcast_pipeline | Organized video -> /Users/niserg/Desktop/metaverse/podcast_pipeline/raw/video/20260403_recording.mp4
2026-05-17 22:53:31 | INFO | podcast_pipeline | Ingest complete: 1 videos, 0 audio, 0 overlays.
2026-05-17 22:57:55 | INFO | podcast_pipeline | Normalized FPS: 20260403_recording.mp4 -> 20260403_recording_fps.mp4
2026-05-17 23:00:59 | INFO | podcast_pipeline | Resized video: 20260403_recording_fps.mp4 -> 20260403_recording_resized.mp4
2026-05-17 23:02:27 | INFO | podcast_pipeline | Normalized audio: 20260403_recording_resized.mp4 -> 20260403_recording_audio_norm.mp4
2026-05-17 23:03:01 | INFO | podcast_pipeline | Generated proxy: 20260403_recording_proxy.mp4
2026-05-17 23:03:57 | INFO | podcast_pipeline | Extracted 8588 frames from 20260403_recording_audio_norm.mp4
2026-05-17 23:03:57 | INFO | podcast_pipeline | Preprocessing complete. Processed=1, Proxies=1
2026-05-17 23:03:59 | INFO | podcast_pipeline | Speaker detection processed 150 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:01 | INFO | podcast_pipeline | Speaker detection processed 300 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:03 | INFO | podcast_pipeline | Speaker detection processed 450 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:05 | INFO | podcast_pipeline | Speaker detection processed 600 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:07 | INFO | podcast_pipeline | Speaker detection processed 750 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:09 | INFO | podcast_pipeline | Speaker detection processed 900 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:11 | INFO | podcast_pipeline | Speaker detection processed 1050 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:13 | INFO | podcast_pipeline | Speaker detection processed 1200 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:15 | INFO | podcast_pipeline | Speaker detection processed 1350 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:17 | INFO | podcast_pipeline | Speaker detection processed 1500 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:19 | INFO | podcast_pipeline | Speaker detection processed 1650 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:21 | INFO | podcast_pipeline | Speaker detection processed 1800 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:23 | INFO | podcast_pipeline | Speaker detection processed 1950 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:24 | INFO | podcast_pipeline | Speaker detection processed 2100 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:26 | INFO | podcast_pipeline | Speaker detection processed 2250 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:28 | INFO | podcast_pipeline | Speaker detection processed 2400 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:30 | INFO | podcast_pipeline | Speaker detection processed 2550 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:32 | INFO | podcast_pipeline | Speaker detection processed 2700 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:34 | INFO | podcast_pipeline | Speaker detection processed 2850 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:36 | INFO | podcast_pipeline | Speaker detection processed 3000 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:38 | INFO | podcast_pipeline | Speaker detection processed 3150 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:40 | INFO | podcast_pipeline | Speaker detection processed 3300 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:41 | INFO | podcast_pipeline | Speaker detection processed 3450 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:43 | INFO | podcast_pipeline | Speaker detection processed 3600 frames for 20260403_recording_audio_norm.mp4
2026-05-17 23:04:45 | INFO | podcast_pipeline | Speaker detection processed 3750 frames for 20260403_recording_audio_norm.mp4
